Degree Centrality,Norm. Degree Centrality,In-degree Centrality,Norm. In-degree Centrality,Out-degree Centrality,Norm. Out-degree Centrality,Eigenvector Centrality,Betweenness Centrality,Closeness Centrality,PageRank Centrality,Hub Score,Authority Score,Subgraph Centrality,Clustering
postgres,qbike-order,qbike-intention,ts-user-service,ts-order-other-service,scaffold-business-thirdparty-service,ts-train-food-service,ts-station-service,config-server,scaffold-route-app,ts-order-service,ts-food-map-service,api-gateway,configserver
comments-webservice,qbike-intention,mail-server,mail-server,database-ts-contacts-service,monitor,mysql,ts-travel-plan-service,ts-travel2-service,scaffold-txmanager,ts-order-other-service,ts-payment-service,web-portal,ts-travel-service
task-webservice,ts-order-service,zipkin-tracing,qbike-uc,item-service,scaffold-business-sys-service,mail-server,ts-user-service,ts-inside-payment-service,scaffold-business-thirdparty-service,kafka,ts-payment-service,ts-login-service,ts-order-service
category-service,database-user-service,configserver,qbike-intention,benchmark-service,scaffold-eureka,apache,ts-payment-service,ts-contacts-service,scaffold-business-job-service,ts-food-service,ts-station-food-service,product-proxy,ts-order-other-service
ts-admin-order-service,database-hotel-service,task-webservice,microservice-api-gateway,recommendation-service,scaffold-route-app,github-repository,database-ts-route-service,ts-notification-service,scaffold-business-sys-service,message-service,ts-train-food-service,mysql,ts-travel2-service
ts-verification-code-service,github-repository,auth-server,ts-config-service,category-service,scaffold-route-openapi,ts-notification-service,ts-preserve-service,ts-station-food-service,scaffold-config-server,database-security-service,ts-basic-service,review-service,ts-inside-payment-service
web-portal,zookeeper,user-webservice,ts-config-service,auth-server,demo,ts-inside-payment-service,ts-payment-service,ts-user-service,scaffold-route-openapi,auth-mongodb,rabbitmq,composite-service,ts-travel2-service
user-webservice,ts-inside-payment-service,web-portal,ts-security-service,database-product-service,database-message-service,ts-contacts-service,ts-price-service,ts-contacts-service,scaffold-route-operate,ts-admin-route-service,zuul,recommendation-service,statistics-service
api-gateway,ts-travel-plan-service,zuul,ts-assurance-service,database-category-service,database-personal-info-service,ts-travel2-service,database-ts-food-delivery-service,ts-payment-service,qbike-intention,ts-basic-service,config-server,product-service,config-service
demo,ts-travel2-service,zuul,ts-security-service,database-security-service,database-hospital-manage-service,scaffold-config-server,ts-execute-service,mail-server,qbike-uc,ts-inside-payment-service,mail-server,hystrix-dashboard,ts-basic-service
ts-execute-service,ts-seat-service,store,ts-price-service,eureka,database-appointment-service,scaffold-route-openapi,ts-travel-plan-service,qbike-intention,ts-train-service,ts-security-service,qbike-intention,apache,notification-service
auth-server,ts-station-service,blog,ts-consign-service,turbine,database-approval-service,scaffold-business-sys-service,database-ts-train-food-service,qbike-uc,zookeeper,ts-admin-order-service,microservice-api-gateway,postgres,ts-food-service
ts-config-service,ts-order-other-service,config-server,ts-verification-code-service,catalog,ts-admin-travel-service,scaffold-business-job-service,database-ts-station-food-service,ts-train-food-service,github-repository,ts-execute-service,ts-consign-price-service,hotel-service,category-service
scaffold-config-server,ts-route-service,mail-server,ts-food-service,customer,ts-cancel-service,scaffold-business-thirdparty-service,ts-admin-order-service,ts-consign-price-service,ts-travel-service,invoicing,mail-server,product-service,security-service
ts-admin-travel-service,ts-basic-service,edge-server,ts-assurance-service,customer,ts-travel-plan-service,scaffold-route-app,database-ts-order-service,ts-payment-service,mail-server,shipping,config-service,category-service,ts-rebook-service
user-proxy,ts-train-service,turbine-server,ts-consign-service,catalog,ts-admin-basic-info-service,scaffold-route-operate,ts-admin-travel-service,ts-food-service,user-proxy,zookeeper,ts-food-delivery-service,hospital-manage-service,qbike-trip
backend,monitoring,auth-server,ts-food-service,invoicing,ts-register-service,scaffold-txmanager,database-ts-train-service,ts-inside-payment-service,database-category-service,database-personal-info-service,ts-consign-price-service,mongodb,ts-contacts-service
authserver,ts-route-service,composite-service,ts-inside-payment-service,shipping,ts-inside-payment-service,config-service,ts-sso-service,ts-assurance-service,database-security-service,ts-seat-service,ts-travel-plan-service,gateway,qbike-intention
ts-admin-route-service,ts-food-service,review-service,ts-station-food-service,zookeeper,ts-food-service,ts-security-service,database-ts-consign-service,ts-consign-service,product-proxy,ts-admin-travel-service,database-ts-consign-price-service,discovery-server,hotel-service
ts-admin-order-service,ts-admin-basic-info-service,product-service,ts-payment-service,user-webservice,ts-travel-service,ts-assurance-service,ts-admin-route-service,ts-food-service,auth-server,ts-inside-payment-service,database-ts-station-food-service,discovery-service,webservice-registry
recommendation-service,ts-cancel-service,recommendation-service,ts-consign-price-service,comments-webservice,ts-basic-service,ts-food-service,database-ts-security-service,ts-verification-code-service,database-product-service,ts-security-service,database-ts-train-food-service,gateway-service,turbine-stream-service
product-service,ts-basic-service,microservice-api-gateway,ts-notification-service,auth-server,ts-travel2-service,ts-verification-code-service,mail-server,ts-consign-service,ts-station-food-service,ts-admin-order-service,database-ts-food-delivery-service,movie-catalog-service,discovery-server
review-service,ts-route-plan-service,gateway,ts-train-food-service,webservice-registry,rabbitmq,ts-consign-service,ts-contacts-service,ts-security-service,ts-price-service,ts-execute-service,database-ts-travel-service,registry,ts-price-service
ts-execute-service,github-repository,gateway-service,ts-consign-price-service,github-repository,auth-mongodb,qbike-uc,ts-cancel-service,ts-security-service,ts-train-service,monitor,ts-preserve-other-service,shipping,approval-service
composite-service,github-repository,demo,ts-payment-service,registry,registry,qbike-intention,ts-config-service,ts-assurance-service,monitor,ts-register-service,database-ts-station-service,invoicing,hospital-manage-service
monitor-dashboard,order,task-webservice,ts-route-plan-service,auth-mongodb,external-website,card-statement-composite,ts-assurance-service,ts-consign-price-service,github-repository,discovery-service,database-ts-user-service,security-service,ts-security-service
ts-payment-service,intention,scaffold-zuul,mail-server,rabbitmq,account-mongodb,card-service,ts-route-service,ts-food-map-service,ts-travel2-service,registry,database-ts-payment-service,monitor-dashboard,turbine
ts-consign-price-service,qbike-uc,configserver,ts-food-map-service,security-service,statistics-mongodb,statement-service,ts-train-service,ts-notification-service,ts-consign-price-service,rabbitmq,configserver,ts-admin-user-service,webservice-registry
ts-food-delivery-service,uc,auth-server,ts-basic-service,product-service,notification-mongodb,turbine,database-hospital-manage-service,mail-server,ts-seat-service,ts-order-service,database-ts-travel2-service,personal-info-service,discovery-service
ts-train-food-service,position,customer-service,ts-route-plan-service,statistics-mongodb,zipkin,ts-route-plan-service,account-service,ts-route-plan-service,database-benchmark-service,ts-order-other-service,database-ts-inside-payment-service,qbike-intention,product-service
mongodb,edge-server,web-portal,ts-food-delivery-service,eureka,api-gateway,database-hospital-manage-service,customer,ts-route-plan-service,database-repository-service,database-ts-station-service,ts-execute-service,qbike-trip,ts-seat-service
ts-login-service,auth-server,account-service,mail-server,database-benchmark-service,database-qbike-uc,database-message-service,catalog,ts-food-delivery-service,ts-travel-service,ts-login-service,ts-rebook-service,database-ts-travel-service,discovery-service
store,zipkin-tracing,scaffold-route-app,database-ts-train-food-service,database-repository-service,database-qbike-trip,database-personal-info-service,apache,database-benchmark-service,ts-ticketinfo-service,ts-assurance-service,database-ts-food-service,qbike-order,ts-admin-travel-service
monitoring,github-repository,database-appointment-service,ts-execute-service,recommendation-service,database-qbike-intention,database-appointment-service,consul,mongodb,mail-server,ts-contacts-service,database-ts-order-service,ts-station-food-service,account-service
user-webservice,ts-notification-service,gateway-service,database-ts-notification-service,product-service,qbike-order,database-approval-service,zookeeper,ts-cancel-service,ts-consign-price-service,ts-admin-user-service,ts-admin-basic-info-service,scaffold-config-server,ts-cancel-service
customer-service,ts-inside-payment-service,ts-execute-service,ts-admin-route-service,review-service,qbike-uc,gateway-service,apache,zookeeper,ts-basic-service,database-ts-train-service,ts-preserve-service,demo,config-service
account-service,ts-train-service,scaffold-route-operate,database-ts-contacts-service,composite-service,database-qbike-order,database-user-service,postgres,github-repository,turbine,ts-food-service,ts-preserve-other-service,github-repository,configurator
edge-server,ts-contacts-service,config-server,ts-cancel-service,database-appointment-service,rabbit,database-hotel-service,web-portal,database-ts-inside-payment-service,ts-config-service,database-ts-travel-service,ts-execute-service,ts-notification-service,eureka
uc,ts-security-service,ts-travel-plan-service,database-ts-travel-service,database-approval-service,qbike-trip,product-proxy,user-webservice,database-ts-travel-service,ts-seat-service,database-ts-route-service,ts-travel-plan-service,user-proxy,ts-rebook-service
ratings-data-service,ts-rebook-service,ts-preserve-other-service,ts-travel-plan-service,database-hospital-manage-service,eureka,user-proxy,api-gateway,database-ts-travel2-service,mail-server,database-ts-order-service,ts-admin-order-service,database-ts-travel2-service,config
card-service,ts-food-service,api-gateway,ts-admin-route-service,database-message-service,ts-food-service,auth-server,comments-webservice,ts-preserve-service,ts-verification-code-service,database-ts-contacts-service,ts-admin-travel-service,order,gateway-service
web-portal,zuul,database-approval-service,database-repository-service,database-personal-info-service,ts-admin-travel-service,database-product-service,auth-server,user-proxy,ts-travel2-service,database-ts-user-service,ts-admin-route-service,intention,ts-route-plan-service
card-statement-composite,scaffold-route-operate,database-hospital-manage-service,ts-admin-travel-service,geocoderlocal-service,ts-execute-service,database-category-service,task-webservice,database-ts-user-service,ts-price-service,database-ts-travel2-service,database-ts-contacts-service,position,user-service
qbike-uc,scaffold-zuul,ts-admin-travel-service,database-benchmark-service,zuul-gateway,ts-order-service,database-security-service,zipkin-tracing,database-ts-payment-service,ts-payment-service,database-ts-order-other-service,ts-cancel-service,uc,zookeeper
api-gateway,scaffold-business-thirdparty-service,database-message-service,database-ts-config-service,geocoderremote-service,ts-route-plan-service,config-service,github-repository,github-repository,github-repository,database-ts-consign-service,database-ts-notification-service,movie-info-service,auth-service
qbike-trip,scaffold-txmanager,ts-admin-basic-info-service,ts-admin-order-service,hystrix-dashboard,ts-ticketinfo-service,account-mongodb,config,ts-admin-travel-service,zookeeper,database-ts-food-service,database-ts-config-service,authserver,config-server
intention,scaffold-business-job-service,database-personal-info-service,ts-preserve-other-service,eureka-discovery,ts-inside-payment-service,statistics-mongodb,monitoring,database-ts-station-service,apache,database-ts-assurance-service,database-ts-assurance-service,account-service,auth-service
position,scaffold-route-openapi,ts-rebook-service,database-ts-price-service,eureka-server,ts-seat-service,auth-mongodb,discovery-server,ts-travel-plan-service,database-hotel-service,database-ts-security-service,database-ts-order-other-service,customer-service,mailer
order,scaffold-business-sys-service,github-repository,database-ts-station-food-service,kafka,ts-admin-order-service,external-website,auth-mongodb,database-ts-contacts-service,postgres,ts-admin-route-service,database-ts-route-service,ratings-data-service,reminder
qbike-intention,scaffold-route-app,configurator,database-ts-food-service,github-repository,ts-order-other-service,notification-mongodb,notification-mongodb,database-ts-notification-service,database-user-service,database-ts-inside-payment-service,database-ts-price-service,backend,ts-travel-plan-service
qbike-order,github-repository,mongodb,database-ts-order-service,store,ts-security-service,config,statistics-mongodb,ts-admin-order-service,ts-train-food-service,database-ts-price-service,ts-admin-route-service,database-ts-order-service,ts-travel-plan-service
store-service,auth-server,scaffold-route-openapi,database-ts-train-service,github-repository,ts-login-service,api-gateway,account-mongodb,database-ts-config-service,ts-basic-service,database-ts-config-service,database-ts-security-service,database-ts-station-service,registry
account-service,github-repository,zookeeper,database-ts-consign-service,notification-mongodb,ts-execute-service,oauth,external-website,database-ts-assurance-service,ts-inside-payment-service,ts-ticketinfo-service,database-ts-consign-service,database-ts-train-service,ts-route-plan-service
movie-info-service,monitor,ts-admin-order-service,database-ts-security-service,web-portal,ts-admin-order-service,reminder,mail-server,database-ts-order-other-service,ts-config-service,database-ts-notification-service,ts-admin-order-service,ts-train-food-service,gateway
customer-service,database-security-service,database-ts-notification-service,ts-preserve-service,account-mongodb,ts-admin-route-service,config-server,order,database-ts-route-service,database-qbike-trip,database-ts-payment-service,database-ts-train-service,database-ts-route-service,gateway-service
auth-server,database-category-service,ts-admin-route-service,database-ts-food-delivery-service,scaffold-business-sys-service,ts-security-service,ts-register-service,hospital-manage-service,ts-admin-route-service,database-qbike-uc,database-ts-station-food-service,ts-admin-travel-service,ts-payment-service,geocoderremote-service
statement-service,database-product-service,database-ts-train-food-service,ts-rebook-service,database-qbike-intention,ts-assurance-service,ts-cancel-service,mysql,database-ts-price-service,api-gateway,ts-food-delivery-service,auth-mongodb,auth-mongodb,turbine-server
scaffold-txmanager,database-approval-service,database-benchmark-service,database-ts-route-service,database-qbike-trip,ts-admin-route-service,ts-admin-basic-info-service,turbine,database-ts-security-service,database-qbike-order,database-ts-train-food-service,ts-admin-basic-info-service,ts-verification-code-service,movie-catalog-service
scaffold-zuul,database-personal-info-service,database-repository-service,database-ts-travel2-service,database-qbike-uc,ts-notification-service,ts-admin-route-service,database-personal-info-service,ts-execute-service,database-qbike-intention,benchmark-service,scaffold-route-operate,database-ts-order-other-service,serviceregistry
scaffold-business-thirdparty-service,database-hospital-manage-service,github-repository,database-ts-consign-price-service,api-gateway,ts-admin-user-service,ts-admin-travel-service,mail-server,ts-rebook-service,zipkin,repository-service,turbine,rabbitmq,api-gateway
scaffold-business-job-service,database-message-service,database-ts-travel-service,database-ts-station-service,zipkin,ts-contacts-service,ts-admin-order-service,geocoderlocal-service,database-ts-consign-service,position,eureka,database-security-service,ts-consign-price-service,kafka
database-repository-service,database-appointment-service,database-ts-travel2-service,database-ts-user-service,external-website,ts-consign-service,ts-login-service,database-approval-service,database-ts-train-service,uc,github-repository,config-service,mail-server,product-proxy
github-repository,mail-server,database-ts-inside-payment-service,database-ts-order-other-service,customer-service,ts-order-service,ts-travel-plan-service,hystrix-dashboard,database-ts-order-service,intention,database-qbike-intention,database-category-service,notification-mongodb,discovery-service
scaffold-route-operate,ts-admin-basic-info-service,database-ts-payment-service,database-ts-payment-service,discovery-service,database-ts-notification-service,ts-execute-service,database-appointment-service,database-ts-food-service,order,ts-notification-service,database-product-service,external-website,ts-assurance-service
edge-server,ts-travel-plan-service,database-ts-user-service,ts-admin-basic-info-service,discovery-service,ts-notification-service,ts-admin-user-service,configurator,ts-preserve-other-service,ts-payment-service,eureka,auth-server,statistics-mongodb,registry
database-ts-contacts-service,ts-cancel-service,database-ts-station-service,database-ts-assurance-service,scaffold-txmanager,ts-consign-service,ts-preserve-service,personal-info-service,database-ts-station-food-service,ts-user-service,ts-consign-service,product-proxy,qbike-uc,discovery-server
scaffold-business-sys-service,ts-admin-travel-service,database-ts-consign-price-service,ts-admin-travel-service,scaffold-business-thirdparty-service,database-ts-contacts-service,ts-rebook-service,mongodb,database-ts-train-food-service,ts-contacts-service,database-ts-consign-price-service,scaffold-txmanager,ts-payment-service,eureka-discovery
database-ts-notification-service,ts-security-service,database-ts-food-delivery-service,database-ts-inside-payment-service,scaffold-business-job-service,database-ts-config-service,ts-preserve-other-service,zookeeper,database-ts-food-delivery-service,ts-inside-payment-service,ts-notification-service,scaffold-business-thirdparty-service,ts-food-map-service,eureka-service
auth-server,ts-price-service,database-ts-station-food-service,ts-admin-order-service,demo,database-ts-assurance-service,ts-contacts-service,github-repository,ts-admin-route-service,configurator,github-repository,scaffold-business-job-service,account-mongodb,recommendation-client
notification-mongodb,ts-assurance-service,database-ts-contacts-service,database-product-service,rabbit,database-ts-order-other-service,ts-user-service,logstash,database-ts-consign-price-service,mongodb,database-ts-food-delivery-service,scaffold-business-sys-service,zipkin-tracing,logstash
database-ts-config-service,ts-register-service,database-ts-food-service,ts-travel-plan-service,scaffold-eureka,ts-order-other-service,ts-consign-service,blog,ts-admin-basic-info-service,ts-food-map-service,ts-consign-service,user-proxy,github-repository,eureka-server
database-ts-assurance-service,ts-consign-service,database-ts-order-service,notification-mongodb,scaffold-route-openapi,database-ts-route-service,ts-security-service,store,gateway-service,ts-notification-service,microservice-api-gateway,scaffold-config-server,github-repository,admin
database-benchmark-service,ts-route-plan-service,database-ts-train-service,mongodb,scaffold-route-app,database-ts-price-service,ts-assurance-service,github-repository,product-proxy,ts-contacts-service,consul,zuul,ts-food-delivery-service,oauth
scaffold-route-openapi,ts-user-service,database-ts-consign-service,zipkin,scaffold-route-operate,ts-food-delivery-service,ts-inside-payment-service,zuul,ts-admin-travel-service,ts-notification-service,mail-server,ts-register-service,rabbitmq,gateway
scaffold-route-app,ts-consign-service,database-ts-security-service,api-gateway,web-portal,database-ts-security-service,ts-food-service,user-proxy,github-repository,ts-assurance-service,monitoring,gateway-service,edge-server,api-gateway
mail-server,ts-contacts-service,database-ts-price-service,order,repository-service,database-ts-inside-payment-service,configserver,product-proxy,config,ts-food-service,mysql,apache,auth-server,consul
database-ts-travel-service,account-mongodb,database-ts-route-service,position,comments-webservice,database-ts-consign-price-service,configserver,auth-server,github-repository,ts-consign-service,rabbit,zipkin,github-repository,apache
database-ts-travel2-service,notification-mongodb,database-ts-order-other-service,intention,auth-server,database-ts-travel-service,ts-notification-service,database-product-service,auth-mongodb,ts-security-service,github-repository,database-qbike-order,github-repository,order
database-ts-inside-payment-service,statistics-mongodb,database-ts-assurance-service,uc,webservice-registry,database-ts-travel2-service,ts-food-delivery-service,database-category-service,notification-mongodb,ts-food-delivery-service,zipkin-tracing,notification-mongodb,benchmark-service,foodtray-service
database-ts-payment-service,auth-mongodb,database-ts-config-service,database-qbike-uc,github-repository,database-ts-consign-service,ts-route-plan-service,database-security-service,statistics-mongodb,ts-assurance-service,database-qbike-order,statistics-mongodb,repository-service,order
database-ts-user-service,external-website,ts-preserve-service,database-qbike-trip,movie-info-service,database-ts-payment-service,position,gateway-service,account-mongodb,ts-security-service,api-gateway,account-mongodb,database-ts-security-service,zuul
database-ts-station-service,mail-server,github-repository,database-qbike-intention,ratings-data-service,database-ts-user-service,database-qbike-trip,microservice-api-gateway,external-website,ts-route-plan-service,ts-station-service,external-website,scaffold-business-sys-service,gateway-service
database-ts-consign-price-service,database-qbike-intention,github-repository,database-qbike-order,database-qbike-order,database-ts-station-service,order,database-qbike-order,movie-catalog-service,ts-food-service,blog,qbike-order,scaffold-route-operate,organization-service
database-ts-food-delivery-service,zipkin,scaffold-config-server,external-website,account-service,database-ts-food-delivery-service,database-qbike-intention,database-hotel-service,github-repository,ts-consign-service,eureka,zookeeper,scaffold-zuul,employee-service
database-ts-train-food-service,database-qbike-uc,config-service,account-mongodb,user-webservice,database-ts-train-food-service,zipkin,monitor-dashboard,database-qbike-order,auth-mongodb,zuul,database-qbike-intention,scaffold-route-app,department-service
database-ts-station-food-service,database-qbike-trip,monitor,statistics-mongodb,qbike-uc,database-ts-station-food-service,api-gateway,comments-webservice,database-qbike-intention,external-website,discovery-service,api-gateway,scaffold-route-openapi,catalog
database-ts-food-service,api-gateway,github-repository,auth-mongodb,qbike-trip,database-ts-food-service,database-qbike-order,auth-server,config-server,notification-mongodb,logstash,database-qbike-trip,scaffold-business-job-service,backend
database-ts-order-service,database-qbike-order,config,ts-execute-service,eureka,database-ts-order-service,database-qbike-uc,task-webservice,database-qbike-trip,statistics-mongodb,mail-server,database-qbike-uc,scaffold-business-thirdparty-service,authserver
database-ts-train-service,microservice-api-gateway,auth-mongodb,config,qbike-order,database-ts-train-service,uc,github-repository,scaffold-route-operate,config,personal-info-service,uc,scaffold-txmanager,customer
database-ts-consign-service,ts-execute-service,ts-preserve-service,github-repository,ts-price-service,discovery-server,intention,movie-info-service,scaffold-route-app,account-mongodb,hospital-manage-service,intention,database-ts-food-service,recommendation-service
database-ts-security-service,ts-station-food-service,notification-mongodb,zookeeper,microservice-api-gateway,api-gateway,github-repository,ratings-data-service,scaffold-route-openapi,ts-admin-user-service,discovery-server,position,ts-admin-route-service,zuul-gateway
database-ts-price-service,ts-assurance-service,statistics-mongodb,postgres,mail-server,edge-server,monitor,movie-catalog-service,scaffold-config-server,ts-admin-basic-info-service,edge-server,order,github-repository,mongodb
database-ts-order-other-service,ts-admin-order-service,account-mongodb,apache,zipkin-tracing,edge-server,github-repository,discovery-server,database-qbike-uc,ts-admin-order-service,mail-server,scaffold-route-app,database-ts-inside-payment-service,catalog
database-ts-route-service,ts-admin-travel-service,external-website,zookeeper,edge-server,auth-server,admin,database-message-service,scaffold-business-sys-service,ts-admin-travel-service,auth-server,scaffold-route-openapi,auth-server,user-proxy
mail-server,ts-verification-code-service,ts-cancel-service,github-repository,ts-payment-service,hospital-manage-service,github-repository,composite-service,scaffold-business-job-service,ts-cancel-service,monitor-dashboard,github-repository,zuul,product-service
database-appointment-service,ts-config-service,ts-login-service,github-repository,api-gateway,zipkin,github-repository,review-service,scaffold-business-thirdparty-service,ts-login-service,registry,github-repository,mail-server,review-service
ts-payment-service,ts-login-service,ts-admin-user-service,apache,personal-info-service,mail-server,ts-rebook-service,product-service,scaffold-txmanager,ts-register-service,ts-payment-service,github-repository,turbine,composite-service
database-security-service,ts-price-service,zipkin,user-proxy,hospital-manage-service,mail-server,database-ts-security-service,github-repository,uc,ts-admin-route-service,ts-user-service,database-user-service,blog,monitor-dashboard
monitor,ts-notification-service,github-repository,turbine,scaffold-zuul,mysql,database-ts-consign-service,monitor-dashboard,intention,ts-travel-plan-service,ts-consign-price-service,database-hotel-service,github-repository,web-portal
database-qbike-order,ts-config-service,database-qbike-order,product-proxy,discovery-server,ts-train-service,database-ts-train-service,card-statement-composite,position,ts-execute-service,ts-sso-service,config,store,geocoderlocal-service
ts-consign-price-service,ts-execute-service,database-qbike-intention,auth-server,edge-server,ts-payment-service,database-ts-order-service,card-service,order,ts-preserve-other-service,ts-route-service,database-repository-service,zipkin,customer
microservice-api-gateway,ts-admin-route-service,database-qbike-trip,database-security-service,auth-server,microservice-api-gateway,database-ts-food-service,statement-service,api-gateway,ts-preserve-service,ts-assurance-service,postgres,api-gateway,user-webservice
zookeeper,ts-admin-order-service,database-qbike-uc,configurator,monitor-dashboard,consul,database-ts-station-food-service,edge-server,config-service,ts-rebook-service,ts-config-service,database-benchmark-service,database-ts-user-service,item-service
database-user-service,ts-payment-service,uc,config-service,ts-train-service,zuul,database-ts-train-food-service,github-repository,github-repository,ts-route-plan-service,ts-contacts-service,config-server,database-ts-contacts-service,comments-webservice
database-hotel-service,ts-consign-price-service,intention,database-personal-info-service,monitoring,blog,database-ts-user-service,monitor,monitor,database-ts-travel2-service,mail-server,github-repository,database-appointment-service,customer-service
mail-server,ts-food-delivery-service,position,database-message-service,ts-station-service,scaffold-zuul,database-ts-food-delivery-service,recommendation-service,database-user-service,database-ts-travel-service,discovery-service,ts-admin-user-service,ts-consign-price-service,store-service
external-website,ts-train-food-service,order,ts-preserve-other-service,mail-server,logstash,database-ts-consign-price-service,database-repository-service,turbine,database-ts-inside-payment-service,ts-food-map-service,ts-login-service,database-ts-consign-service,price-service
account-mongodb,ts-admin-user-service,database-hotel-service,ts-admin-basic-info-service,mail-server,ts-config-service,database-ts-station-service,database-user-service,ts-admin-order-service,database-ts-payment-service,ts-station-service,ts-cancel-service,mail-server,account-service
zipkin-tracing,ts-food-map-service,github-repository,ts-register-service,ts-verification-code-service,ts-route-service,database-ts-route-service,api-gateway,auth-server,database-ts-user-service,ts-config-service,ts-preserve-service,database-message-service,rating-service
github-repository,mail-server,ts-rebook-service,ts-rebook-service,ts-consign-price-service,ts-station-service,database-ts-payment-service,web-portal,ts-travel-plan-service,database-ts-train-service,ts-route-service,ts-rebook-service,database-user-service,edge-server
statistics-mongodb,ts-admin-route-service,database-user-service,ts-preserve-service,api-gateway,api-gateway,database-ts-inside-payment-service,database-qbike-intention,ts-execute-service,database-ts-station-service,ts-price-service,github-repository,microservice-api-gateway,statement-service
github-repository,ts-consign-price-service,ts-register-service,ts-cancel-service,mysql,personal-info-service,database-ts-travel2-service,scaffold-route-operate,database-product-service,database-ts-consign-price-service,ts-train-service,monitor,database-approval-service,card-service
auth-mongodb,ts-payment-service,user-proxy,ts-login-service,ts-train-service,ts-consign-price-service,database-ts-travel-service,database-qbike-trip,database-category-service,database-ts-food-delivery-service,ts-payment-service,configurator,database-ts-assurance-service,card-statement-composite
ts-food-map-service,database-ts-assurance-service,ts-cancel-service,ts-admin-user-service,discovery-server,zipkin-tracing,database-ts-price-service,database-qbike-uc,database-security-service,database-ts-train-food-service,ts-verification-code-service,database-message-service,zookeeper,monitor-dashboard
database-category-service,database-ts-order-other-service,product-proxy,github-repository,ts-food-map-service,ts-price-service,database-ts-assurance-service,uc,ts-preserve-other-service,database-ts-station-food-service,ts-price-service,zookeeper,database-ts-price-service,movie-service
database-product-service,database-ts-contacts-service,auth-server,database-hotel-service,ts-price-service,monitoring,database-ts-order-other-service,intention,ts-admin-basic-info-service,database-ts-food-service,edge-server,mongodb,database-ts-config-service,user-service
zipkin,database-ts-notification-service,database-product-service,database-user-service,ts-station-food-service,ts-verification-code-service,ts-admin-order-service,position,ts-register-service,database-ts-order-service,scaffold-zuul,configserver,database-hotel-service,recommendation-service
auth-server,mail-server,ts-admin-route-service,database-category-service,ts-route-service,discovery-server,ts-admin-basic-info-service,order,ts-rebook-service,ts-preserve-service,discovery-server,github-repository,database-category-service,ratings-data-service
database-approval-service,database-ts-travel-service,database-category-service,github-repository,ts-train-food-service,ts-sso-service,ts-preserve-service,api-gateway,zipkin,database-ts-consign-service,github-repository,apache,database-product-service,api-gateway
database-hospital-manage-service,database-ts-travel2-service,ts-admin-travel-service,config-server,consul,mail-server,ts-cancel-service,zipkin,database-personal-info-service,database-ts-security-service,ts-station-food-service,movie-catalog-service,database-hospital-manage-service,movie-info-service
database-message-service,database-ts-inside-payment-service,ts-admin-order-service,github-repository,ts-assurance-service,ts-train-food-service,ts-travel-plan-service,edge-server,ts-preserve-service,ts-rebook-service,api-gateway,database-personal-info-service,database-security-service,auth-server
database-personal-info-service,database-ts-payment-service,database-security-service,gateway-service,ts-consign-price-service,ts-user-service,ts-execute-service,turbine-server,database-hotel-service,ts-cancel-service,ts-train-service,gateway,database-qbike-trip,comments-webservice
ts-admin-user-service,database-ts-user-service,movie-catalog-service,movie-catalog-service,ts-config-service,ts-station-service,ts-admin-travel-service,config-service,apache,ts-admin-basic-info-service,ts-train-food-service,database-hospital-manage-service,database-qbike-intention,api-gateway
api-gateway,database-ts-station-service,ts-travel-plan-service,github-repository,ts-config-service,mail-server,ts-admin-route-service,config-server,database-message-service,ts-preserve-other-service,zipkin,database-approval-service,database-personal-info-service,web-portal
github-repository,database-ts-consign-price-service,ts-execute-service,database-appointment-service,ts-station-service,monitor-dashboard,database-ts-contacts-service,auth-server,ts-cancel-service,ts-execute-service,ts-consign-price-service,database-appointment-service,database-qbike-order,scaffold-config-server
github-repository,database-ts-food-delivery-service,scaffold-business-sys-service,database-approval-service,ts-user-service,ts-consign-price-service,database-ts-notification-service,zipkin,ts-login-service,ts-travel-plan-service,database-qbike-uc,github-repository,database-ts-station-food-service,demo
blog,database-ts-train-food-service,apache,scaffold-route-operate,ts-payment-service,discovery-service,database-ts-config-service,scaffold-txmanager,ts-admin-user-service,ts-admin-order-service,github-repository,gateway-service,mail-server,zipkin
github-repository,database-ts-station-food-service,zookeeper,scaffold-route-app,discovery-service,ts-station-food-service,ts-preserve-other-service,scaffold-business-thirdparty-service,github-repository,ts-admin-travel-service,github-repository,config-service,database-ts-notification-service,discovery-service
zuul,database-ts-food-service,apache,scaffold-route-openapi,ts-contacts-service,ts-contacts-service,config-server,scaffold-business-job-service,database-hospital-manage-service,ts-admin-route-service,scaffold-eureka,qbike-uc,database-ts-payment-service,config-service
mail-server,database-ts-config-service,postgres,database-hospital-manage-service,mail-server,ts-train-service,github-repository,scaffold-business-sys-service,database-approval-service,database-ts-notification-service,serviceregistry,config-server,database-ts-train-food-service,customer-service
ts-admin-route-service,database-ts-train-service,scaffold-business-job-service,scaffold-config-server,zuul,ts-food-map-service,zookeeper,scaffold-zuul,zookeeper,database-ts-config-service,database-qbike-trip,api-gateway,monitor,account-service
database-qbike-uc,database-ts-consign-service,ts-preserve-other-service,scaffold-business-sys-service,zipkin,ts-price-service,apache,demo,database-appointment-service,database-ts-assurance-service,qbike-trip,qbike-trip,database-qbike-uc,monitoring
